label,subject,email_text
1,Your account will be suspended,We detected unusual activity in your account. Verify your identity immediately by clicking the secure link below to avoid suspension.
1,Congratulations you won a cash reward,You have been selected for a special reward of 50000 rupees. Claim your prize now before this limited offer expires.
1,Final reminder for payment verification,Your payment account has issues and needs urgent confirmation. Open the attached form and submit your banking details now.
1,Claim your free smartphone today,You are our lucky customer. Click here now and confirm your address to receive your free smartphone.
1,Mailbox storage exceeded,Your email storage is full and your mailbox will stop receiving messages. Upgrade now using the verification page.
1,Security notice action required,Your company login has been flagged. Reset your password using the secure portal immediately.
1,Lottery winner notification,Your email has won an international lottery. Send your personal information and bank account number to receive the amount.
1,Urgent invoice attached,Please review the attached invoice immediately and process the outstanding payment today.
1,Reset your bank password,We detected unauthorized attempts on your banking account. Reset your password now using the link provided.
1,Special investment opportunity,Invest today and double your money in just 7 days. Limited seats available. Register now.
1,Your package cannot be delivered,Your parcel delivery failed. Confirm your address and pay a small redelivery fee immediately.
1,Update KYC urgently,Your KYC is incomplete. Failure to update today will result in account closure.
1,Immediate payroll verification required,There is an issue in your payroll profile. Please verify your credentials and bank details to avoid salary delay.
1,Your wallet access is restricted,Your digital wallet is temporarily restricted. Confirm your identity and payment details to restore access.
1,Remote job application selected,You have been selected for a remote work opportunity. Pay the onboarding fee to receive confirmation documents.
1,Tax refund processing pending,Your tax refund is pending. Submit your bank details and identity document now to release the payment.
1,Urgent security patch required,Your mailbox security settings are outdated. Login now to update protection and secure your account.
1,Scholarship funds approval,You are approved for scholarship support. Confirm account details now to receive the amount.
1,Bank alert verify now,Your bank account has been limited after suspicious activity. Verify your login and KYC details immediately.
1,Invoice correction needed,The attached invoice contains an issue. Open the document now and confirm your company payment details.
1,Office365 mailbox warning,Your Office365 mailbox will be deactivated unless you confirm your login details today.
1,Confirm employee bonus payout,You are eligible for a bonus payout. Submit your payroll verification form now to receive the amount.
1,Crypto investment return offer,Join our special crypto plan and double your investment in five days with guaranteed profit.
1,Refund not completed,Your refund could not be processed. Confirm your debit card details immediately to receive the amount.
1,Password expiration notice action required,Your password expires today. Use the attached login page to verify and continue access.
1,New courier charge pending,Your shipment is waiting because of a small courier charge. Pay now to release the package.
1,Google account recovery issue,We noticed unusual access to your Google account. Verify now or recovery options will be disabled.
1,Suspicious sign in to payroll portal,A suspicious sign in attempt was detected in your payroll portal. Confirm your details to secure access.
1,Final HR compliance check,Your employee profile is incomplete. Upload identity and banking proof immediately to remain active.
1,Claim your anniversary gift card,As a selected customer you can claim a free shopping gift card today before midnight.
0,Assignment submission received,Dear student your assignment has been received successfully and will be reviewed by the faculty this week.
0,Interview schedule confirmation,Your interview is confirmed for Monday at 11 AM. Please reach the office 15 minutes early.
0,Updated class timetable,The revised class timetable for next semester has been uploaded to the portal. Please check the updated schedule.
0,Project report discussion,We need to discuss the final project report tomorrow afternoon. Please bring your latest draft.
0,Your order has been shipped,Your order has been packed and shipped successfully. You can track the delivery using the official order page.
0,Password reset requested,We received a request to reset your password. If this was you please continue on the official website.
0,Internship application update,Thank you for applying. Your internship application is under review and we will contact you soon.
0,Library overdue reminder,This is a reminder that one of your borrowed books is overdue. Please return it by Friday.
0,Monthly salary credited,Your salary for this month has been credited successfully to your registered account.
0,Course enrollment confirmation,You have been enrolled successfully in the Data Science course. Classes will begin next week.
0,Team lunch tomorrow,Hi everyone we are planning a team lunch tomorrow at 1 PM. Please confirm if you can join.
0,Exam hall ticket available,Your exam hall ticket is now available on the student portal. Download it before the exam date.
0,Invoice for purchased software,Attached is the invoice for the software license purchased by your company last week.
0,Account statement for March,Please find attached your monthly account statement for March for your review and records.
0,Welcome to our newsletter,Thank you for subscribing to our official newsletter. We will send you updates about product releases and events.
0,Flight booking confirmation,Your flight has been booked successfully. The e-ticket and travel details are attached in this email.
0,HR onboarding documents,Welcome to the company. Please review the onboarding documents shared by the HR department.
0,Official fee payment receipt,This email confirms that your fee payment has been received successfully.
0,Seminar registration successful,You have successfully registered for the seminar. Venue details will be shared one day before the event.
0,Maintenance notification,The system will be under scheduled maintenance tonight from 11 PM to 1 AM.
0,Discount on your next purchase,Use this official coupon code on our website to get a discount on your next order.
0,Campus placement update,The company shortlist for campus placement round two has been released. Check the portal for details.
0,Resume review session,We are conducting a resume review session tomorrow in the lab. Interested students may attend.
0,OTP for login,Your one time password for secure login is 482913. Do not share this code with anyone.
0,Bank transaction alert,An amount of 2500 rupees has been debited from your account ending in 4502 through UPI.
0,Company payroll processed,The payroll for this month has been processed successfully and will reflect in employee accounts shortly.
0,Invoice attached for office supplies,Attached is the invoice for office stationery purchased last week through the approved vendor.
0,Account security reminder,For your safety please use a strong password and enable two factor authentication on the official portal.
0,Refund processed successfully,Your refund has been processed successfully and will be credited in five to seven business days.
0,Welcome to employee benefits portal,You can now access the employee benefits portal using your official company credentials.
0,Order delivery rescheduled,Your order delivery has been rescheduled as requested. Updated tracking information is available in your account.